SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,5954 Ocean Vw,Oakland,CA,94618,1249000,2,2,Upper Rockridge,2065,5664,1935,1,Garage,14,Active,3/12/16,14:00,16:00,,1249000,10/14/92,390000,http://www.redfin.com/CA/Oakland/5954-Ocean-View-Dr-94618/home/1533596,East Bay Regional Data (EBRD),40730131,Vanguard Properties,N,Y,37.846292,-122.244115,FALSE
MLS Listing,Single Family Residential,3037 West St,Oakland,CA,94608,649000,3,2,West Oakland,1025,2730,1900,0,,14,Active,,,,,649000,12/23/04,250000,http://www.redfin.com/CA/Oakland/3037-West-St-94608/home/2040029,East Bay Regional Data (EBRD),40730132,Progressive Home Corp.,N,Y,37.820772,-122.273692,FALSE
MLS Listing,Single Family Residential,1005 GRAND VIEW Dr,Berkeley,CA,94705,1058000,4,3,Berkeley,2411,9715,1994,0,,14,Active,3/13/16,14:00,16:00,,1058000,6/29/12,730000,http://www.redfin.com/CA/Berkeley/1005-Grand-View-Dr-94705/home/22720772,East Bay Regional Data (EBRD),40730163,BHG MASON-MCDUFFIE REAL ESTATE,N,Y,37.85773,-122.234171,FALSE
MLS Listing,Single Family Residential,254 CAIRO Rd,Oakland,CA,94603,318000,3,1,Columbia Gardens,974,4125,1943,1,Garage,14,Active,,,,,318000,,,http://www.redfin.com/CA/Oakland/254-Cairo-Rd-94603/home/1224405,East Bay Regional Data (EBRD),40730183,ERA MICHAEL JAMES CO.,N,Y,37.733733,-122.193027,FALSE
MLS Listing,Multi-Family (2-4 Unit),1027 E 33rd St,Oakland,CA,94610,495500,4,2,Oakland,1391,1914,1920,1,Garage,14,Active,,,,,495500,,,http://www.redfin.com/CA/Oakland/1027-E-33rd-St-94610/home/1587222,East Bay Regional Data (EBRD),40730184,"Fremont Homes and Loans, Inc.",N,Y,37.802921,-122.235559,FALSE
MLS Listing,Single Family Residential,6091 COLTON Blvd,Oakland,CA,94611,959000,4,3,Montclair,2592,5650,1959,2,Garage,14,Active,,,,,959000,,,http://www.redfin.com/CA/Oakland/6091-Colton-Blvd-94611/home/1930934,East Bay Regional Data (EBRD),40730188,BAY SOTHEBY'S INTL REALTY,N,Y,37.832996,-122.207867,FALSE
MLS Listing,Single Family Residential,2523 MARTIN LUTHER KING JR Way,Oakland,CA,94612,599000,4,2.5,Oakland,1714,2500,1897,0,,13,Active,,,,,599000,2/11/15,240000,http://www.redfin.com/CA/Oakland/2523-Martin-Luther-King-Junior-Way-94612/home/1253448,East Bay Regional Data (EBRD),40730206,BHG MASON MCDUFFIE REAL ESTATE,N,Y,37.815471,-122.272335,FALSE
MLS Listing,Multi-Family (2-4 Unit),2353 82nd,Oakland,CA,94605,499000,4,3,Oakland,2435,2960,,2,Garage,13,Active,,,,,499000,4/5/13,285000,http://www.redfin.com/CA/Oakland/2353-82nd-Ave-94605/home/44511508,East Bay Regional Data (EBRD),40730214,BHG Mason-McDuffie Real Estate,N,Y,37.7614838,-122.1678504,FALSE
MLS Listing,Single Family Residential,1518 89TH Ave,Oakland,CA,94621,369000,4,2,East Oakland,1252,4800,1915,0,,13,Active,,,,,369000,9/27/06,354000,http://www.redfin.com/CA/Oakland/1518-89th-Ave-94621/home/584140,East Bay Regional Data (EBRD),40730234,KELLER WILLIAMS RLTY EAST BAY,N,Y,37.751096,-122.172702,FALSE
MLS Listing,Condo/Coop,1007 41ST St #214,Emeryville,CA,94608,271000,1,1,Emeryville,767,,2005,1,Garage,13,Active,,,,,271000,10/6/06,256000,http://www.redfin.com/CA/Oakland/1007-41st-St-94608/unit-214/home/12115016,East Bay Regional Data (EBRD),40730257,ABIO PROPERTIES,N,Y,37.8319544,-122.277382,FALSE
