address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3232 Kansas St,Oakland  CA 94602,2,1.0,828,1923,37.796761,-122.20124,,,http://www.zillow.com/homedetails/3232-Kansas-St-Oakland-CA-94602/24770040_zpid/,http://www.zillow.com/homedetails/3232-Kansas-St-Oakland-CA-94602/24770040_zpid/#charts-and-data,http://www.zillow.com/homes/24770040_zpid/,http://www.zillow.com/homes/comps/24770040_zpid/,24770040,603144,03/13/2016,,,0.45165400161,600000,12/15/2015,9.0
3226 Kansas St,Oakland  CA 94602,2,1.0,818,1922,37.796828,-122.201319,,,http://www.zillow.com/homedetails/3226-Kansas-St-Oakland-CA-94602/24770041_zpid/,http://www.zillow.com/homedetails/3226-Kansas-St-Oakland-CA-94602/24770041_zpid/#charts-and-data,http://www.zillow.com/homes/24770041_zpid/,http://www.zillow.com/homes/comps/24770041_zpid/,24770041,687396,03/13/2016,,,0.454485646802,585000,02/18/2016,9.0
principal_arv,mao_light,mao_med,mao_high
548750,340530.0,332360.0,320105.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3907 PENNIMAN Ave,Oakland  CA 94619,2,1.0,857,1940,37.786591,-122.203556,http://www.redfin.com/CA/Oakland/3907-Penniman-Ave-94619/home/1277133,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24777666,http://www.zillow.com/homedetails/3907-Penniman-Ave-Oakland-CA-94619/24777666_zpid/,http://www.zillow.com/homedetails/3907-Penniman-Ave-Oakland-CA-94619/24777666_zpid/#charts-and-data,http://www.zillow.com/homes/24777666_zpid/,http://www.zillow.com/homes/comps/24777666_zpid/,24777666,415950,03/13/2016,2400,03/14/2016,0
3066 Berlin Way,Oakland  CA 94602,2,1.0,870,1926,37.791821,-122.209184,,,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/#charts-and-data,http://www.zillow.com/homes/24768498_zpid/,http://www.zillow.com/homes/comps/24768498_zpid/,24768498,468547,03/13/2016,,,0.474355938402,425000,12/11/2015,3.0
2544 Bartlett St,Oakland  CA 94601,3,1.0,852,1918,37.788504,-122.210751,,,http://www.zillow.com/homedetails/2544-Bartlett-St-Oakland-CA-94601/24768964_zpid/,http://www.zillow.com/homedetails/2544-Bartlett-St-Oakland-CA-94601/24768964_zpid/#charts-and-data,http://www.zillow.com/homes/24768964_zpid/,http://www.zillow.com/homes/comps/24768964_zpid/,24768964,533415,03/13/2016,,,0.414510612374,585000,10/23/2015,7.0
3442 Suter St,Oakland  CA 94602,2,1.0,1000,1926,37.791804,-122.204991,,,http://www.zillow.com/homedetails/3442-Suter-St-Oakland-CA-94602/24770271_zpid/,http://www.zillow.com/homedetails/3442-Suter-St-Oakland-CA-94602/24770271_zpid/#charts-and-data,http://www.zillow.com/homes/24770271_zpid/,http://www.zillow.com/homes/comps/24770271_zpid/,24770271,449408,03/13/2016,,,0.368606910767,421500,02/02/2016,2.0
principal_arv,mao_light,mao_med,mao_high
477166,289021.2,280451.2,267596.2

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
692 46TH St,Oakland  CA 94609,3,2.0,1190,1919,37.834702,-122.26852,http://www.redfin.com/CA/Oakland/692-46th-St-94609/home/2013342,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24751591,http://www.zillow.com/homedetails/692-46th-St-Oakland-CA-94609/24751591_zpid/,http://www.zillow.com/homedetails/692-46th-St-Oakland-CA-94609/24751591_zpid/#charts-and-data,http://www.zillow.com/homes/24751591_zpid/,http://www.zillow.com/homes/comps/24751591_zpid/,24751591,709627,03/13/2016,2900,03/14/2016,0
852 46th St,Oakland  CA 94608,2,1.0,1188,1912,37.835156,-122.27136,,,http://www.zillow.com/homedetails/852-46th-St-Oakland-CA-94608/24751692_zpid/,http://www.zillow.com/homedetails/852-46th-St-Oakland-CA-94608/24751692_zpid/#charts-and-data,http://www.zillow.com/homes/24751692_zpid/,http://www.zillow.com/homes/comps/24751692_zpid/,24751692,692858,03/13/2016,,,0.158117309171,700000,01/19/2016,3.0
451 42nd St,Oakland  CA 94609,2,1.0,1250,1933,37.830768,-122.261187,,,http://www.zillow.com/homedetails/451-42nd-St-Oakland-CA-94609/24749665_zpid/,http://www.zillow.com/homedetails/451-42nd-St-Oakland-CA-94609/24749665_zpid/#charts-and-data,http://www.zillow.com/homes/24749665_zpid/,http://www.zillow.com/homes/comps/24749665_zpid/,24749665,849269,03/13/2016,,,0.483748202618,775000,09/25/2015,5.0
4109 West St,Oakland  CA 94608,2,1.0,1291,1905,37.831257,-122.271058,,,http://www.zillow.com/homedetails/4109-West-St-Oakland-CA-94608/24749769_zpid/,http://www.zillow.com/homedetails/4109-West-St-Oakland-CA-94608/24749769_zpid/#charts-and-data,http://www.zillow.com/homes/24749769_zpid/,http://www.zillow.com/homes/comps/24749769_zpid/,24749769,731968,03/13/2016,,,0.275387435765,400000,12/01/2015,11.0
4221 West St,Oakland  CA 94608,3,1.0,1266,1908,37.832511,-122.270718,,,http://www.zillow.com/homedetails/4221-West-St-Oakland-CA-94608/24750071_zpid/,http://www.zillow.com/homedetails/4221-West-St-Oakland-CA-94608/24750071_zpid/#charts-and-data,http://www.zillow.com/homes/24750071_zpid/,http://www.zillow.com/homes/comps/24750071_zpid/,24750071,747957,03/13/2016,,,0.19314079084,725000,10/23/2015,2.0
principal_arv,mao_light,mao_med,mao_high
650000,398350.0,386450.0,368600.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3616 Green Acre Rd,Oakland  CA 94619-2725,3,2.0,,1983,37.785755,-122.19168,http://www.redfin.com/CA/Oakland/3616-Green-Acre-Rd-94619/unit-9/home/1757650,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=2124913266,http://www.zillow.com/homedetails/3616-Green-Acre-Rd-Oakland-CA-94619/2124913266_zpid/,,http://www.zillow.com/homes/2124913266_zpid/,http://www.zillow.com/homes/comps/2124913266_zpid/,2124913266,395779,03/13/2016,2350,03/14/2016,0
3142 High St,Oakland  CA 94619,3,1.0,1243,1913,37.784811,-122.198679,,,http://www.zillow.com/homedetails/3142-High-St-Oakland-CA-94619/24777373_zpid/,http://www.zillow.com/homedetails/3142-High-St-Oakland-CA-94619/24777373_zpid/#charts-and-data,http://www.zillow.com/homes/24777373_zpid/,http://www.zillow.com/homes/comps/24777373_zpid/,24777373,576799,03/13/2016,,,0.387707531197,507000,12/14/2015,7.0
3300 Simmons St,Oakland  CA 94619,3,3.0,1841,1935,37.780178,-122.189861,,,http://www.zillow.com/homedetails/3300-Simmons-St-Oakland-CA-94619/24784168_zpid/,http://www.zillow.com/homedetails/3300-Simmons-St-Oakland-CA-94619/24784168_zpid/#charts-and-data,http://www.zillow.com/homes/24784168_zpid/,http://www.zillow.com/homes/comps/24784168_zpid/,24784168,718075,03/13/2016,,,0.397929338314,785000,12/01/2015,12.0
4748 Tompkins Ave,Oakland  CA 94619,4,3.0,2312,1947,37.785886,-122.18489,,,http://www.zillow.com/homedetails/4748-Tompkins-Ave-Oakland-CA-94619/24784658_zpid/,http://www.zillow.com/homedetails/4748-Tompkins-Ave-Oakland-CA-94619/24784658_zpid/#charts-and-data,http://www.zillow.com/homes/24784658_zpid/,http://www.zillow.com/homes/comps/24784658_zpid/,24784658,741008,03/13/2016,,,0.370877123954,675000,10/21/2015,12.0
4805 Tompkins Ave,Oakland  CA 94619,2,2.0,1195,1948,37.784785,-122.185495,,,http://www.zillow.com/homedetails/4805-Tompkins-Ave-Oakland-CA-94619/24784713_zpid/,http://www.zillow.com/homedetails/4805-Tompkins-Ave-Oakland-CA-94619/24784713_zpid/#charts-and-data,http://www.zillow.com/homes/24784713_zpid/,http://www.zillow.com/homes/comps/24784713_zpid/,24784713,533118,03/13/2016,,,0.3443188822,488000,12/15/2015,6.0
principal_arv,mao_light,mao_med,mao_high
613750,414625.0,414625.0,414625.0

