address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2914 Chestnut St,Oakland  CA 94608,3,2.0,1298,1905,37.821054,-122.280461,,,http://www.zillow.com/homedetails/2914-Chestnut-St-Oakland-CA-94608/24739916_zpid/,http://www.zillow.com/homedetails/2914-Chestnut-St-Oakland-CA-94608/24739916_zpid/#charts-and-data,http://www.zillow.com/homes/24739916_zpid/,http://www.zillow.com/homes/comps/24739916_zpid/,24739916,680694,03/13/2016,,,0.382468416511,675000,10/15/2015,9.0
principal_arv,mao_light,mao_med,mao_high
641600,380955.0,365765.0,342980.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3229 Macarthur Blvd,Oakland  CA 94602,2,1.0,1170,1925,37.795541,-122.202987,http://www.redfin.com/CA/Oakland/3229-MacArthur-Blvd-94602/home/540688,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24770153,http://www.zillow.com/homedetails/3229-Macarthur-Blvd-Oakland-CA-94602/24770153_zpid/,http://www.zillow.com/homedetails/3229-Macarthur-Blvd-Oakland-CA-94602/24770153_zpid/#charts-and-data,http://www.zillow.com/homes/24770153_zpid/,http://www.zillow.com/homes/comps/24770153_zpid/,24770153,431989,03/13/2016,2795,03/14/2016,0
3250 Coolidge Ave,Oakland  CA 94602,3,1.0,1366,1924,37.795334,-122.211558,,,http://www.zillow.com/homedetails/3250-Coolidge-Ave-Oakland-CA-94602/24769726_zpid/,http://www.zillow.com/homedetails/3250-Coolidge-Ave-Oakland-CA-94602/24769726_zpid/#charts-and-data,http://www.zillow.com/homes/24769726_zpid/,http://www.zillow.com/homes/comps/24769726_zpid/,24769726,539243,03/13/2016,,,0.468175429069,550000,09/24/2015,7.0
3181 Texas St,Oakland  CA 94602,2,1.0,1000,1921,37.793803,-122.209021,,,http://www.zillow.com/homedetails/3181-Texas-St-Oakland-CA-94602/24769799_zpid/,http://www.zillow.com/homedetails/3181-Texas-St-Oakland-CA-94602/24769799_zpid/#charts-and-data,http://www.zillow.com/homes/24769799_zpid/,http://www.zillow.com/homes/comps/24769799_zpid/,24769799,467591,03/13/2016,,,0.350649109324,445000,11/19/2015,3.0
3200 School St,Oakland  CA 94602,2,1.0,992,1921,37.793808,-122.209812,,,http://www.zillow.com/homedetails/3200-School-St-Oakland-CA-94602/24769807_zpid/,http://www.zillow.com/homedetails/3200-School-St-Oakland-CA-94602/24769807_zpid/#charts-and-data,http://www.zillow.com/homes/24769807_zpid/,http://www.zillow.com/homes/comps/24769807_zpid/,24769807,443328,03/13/2016,,,0.391398508222,475000,12/01/2015,4.0
3236 Suter St,Oakland  CA 94602,2,1.0,1008,1926,37.793817,-122.207366,,,http://www.zillow.com/homedetails/3236-Suter-St-Oakland-CA-94602/24769840_zpid/,http://www.zillow.com/homedetails/3236-Suter-St-Oakland-CA-94602/24769840_zpid/#charts-and-data,http://www.zillow.com/homes/24769840_zpid/,http://www.zillow.com/homes/comps/24769840_zpid/,24769840,512813,03/13/2016,,,0.267115702346,550000,12/15/2015,5.0
3066 Dakota St,Oakland  CA 94602,3,1.0,1275,1925,37.795514,-122.204699,,,http://www.zillow.com/homedetails/3066-Dakota-St-Oakland-CA-94602/24769895_zpid/,http://www.zillow.com/homedetails/3066-Dakota-St-Oakland-CA-94602/24769895_zpid/#charts-and-data,http://www.zillow.com/homes/24769895_zpid/,http://www.zillow.com/homes/comps/24769895_zpid/,24769895,555335,03/13/2016,,,0.0934897690841,549000,09/22/2015,5.0
principal_arv,mao_light,mao_med,mao_high
513800,303710.0,292010.0,274460.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
728 30TH St,Oakland  CA 94609,5,2.0,2106,1914,37.820214,-122.272761,http://www.redfin.com/CA/Oakland/728-30th-St-94609/home/525563,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24741618,http://www.zillow.com/homedetails/728-30th-St-Oakland-CA-94609/24741618_zpid/,http://www.zillow.com/homedetails/728-30th-St-Oakland-CA-94609/24741618_zpid/#charts-and-data,http://www.zillow.com/homes/24741618_zpid/,http://www.zillow.com/homes/comps/24741618_zpid/,24741618,841991,03/13/2016,3500,03/14/2016,0
848 33rd St,Oakland  CA 94608,4,3.0,2100,1900,37.823847,-122.274148,,,http://www.zillow.com/homedetails/848-33rd-St-Oakland-CA-94608/24741909_zpid/,http://www.zillow.com/homedetails/848-33rd-St-Oakland-CA-94608/24741909_zpid/#charts-and-data,http://www.zillow.com/homes/24741909_zpid/,http://www.zillow.com/homes/comps/24741909_zpid/,24741909,485234,03/13/2016,,,0.262181741739,775000,10/20/2015,4.0
1123 30th St,Oakland  CA 94608,3,3.0,2083,1916,37.821689,-122.281195,,,http://www.zillow.com/homedetails/1123-30th-St-Oakland-CA-94608/24739922_zpid/,http://www.zillow.com/homedetails/1123-30th-St-Oakland-CA-94608/24739922_zpid/#charts-and-data,http://www.zillow.com/homes/24739922_zpid/,http://www.zillow.com/homes/comps/24739922_zpid/,24739922,591170,03/13/2016,,,0.471464496727,795000,03/09/2016,5.0
730 34th St,Oakland  CA 94609,3,2.5,1912,2015,37.823745,-122.271356,,,http://www.zillow.com/homedetails/730-34th-St-Oakland-CA-94609/122141974_zpid/,http://www.zillow.com/homedetails/730-34th-St-Oakland-CA-94609/122141974_zpid/#charts-and-data,http://www.zillow.com/homes/122141974_zpid/,http://www.zillow.com/homes/comps/122141974_zpid/,122141974,615440,03/13/2016,,,0.255735360684,1030000,09/25/2015,7.0
861 32nd St,Oakland  CA 94608,3,2.0,2309,1910,37.821868,-122.274818,,,http://www.zillow.com/homedetails/861-32nd-St-Oakland-CA-94608/124735765_zpid/,http://www.zillow.com/homedetails/861-32nd-St-Oakland-CA-94608/124735765_zpid/#charts-and-data,http://www.zillow.com/homes/124735765_zpid/,http://www.zillow.com/homes/comps/124735765_zpid/,124735765,582974,03/13/2016,,,0.160200424152,585000,01/12/2016,7.0
principal_arv,mao_light,mao_med,mao_high
796250,468665.0,447605.0,416015.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3316 ARKANSAS St,Oakland  CA 94602,2,1.0,1482,1905,37.793562,-122.205847,http://www.redfin.com/CA/Oakland/3316-Arkansas-St-94602/home/540748,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24770237,http://www.zillow.com/homedetails/3316-Arkansas-St-Oakland-CA-94602/24770237_zpid/,http://www.zillow.com/homedetails/3316-Arkansas-St-Oakland-CA-94602/24770237_zpid/#charts-and-data,http://www.zillow.com/homes/24770237_zpid/,http://www.zillow.com/homes/comps/24770237_zpid/,24770237,523457,03/13/2016,2600,03/14/2016,0
3056 Curran Ave,Oakland  CA 94602,3,2.0,1465,1940,37.792264,-122.210903,,,http://www.zillow.com/homedetails/3056-Curran-Ave-Oakland-CA-94602/24768411_zpid/,http://www.zillow.com/homedetails/3056-Curran-Ave-Oakland-CA-94602/24768411_zpid/#charts-and-data,http://www.zillow.com/homes/24768411_zpid/,http://www.zillow.com/homes/comps/24768411_zpid/,24768411,620002,03/13/2016,,,0.290257867957,390000,10/29/2015,7.0
2825 Delaware St,Oakland  CA 94602,3,2.0,1410,1922,37.797135,-122.209413,,,http://www.zillow.com/homedetails/2825-Delaware-St-Oakland-CA-94602/24769660_zpid/,http://www.zillow.com/homedetails/2825-Delaware-St-Oakland-CA-94602/24769660_zpid/#charts-and-data,http://www.zillow.com/homes/24769660_zpid/,http://www.zillow.com/homes/comps/24769660_zpid/,24769660,626392,03/13/2016,,,0.314406072195,600000,12/18/2015,5.0
3250 Coolidge Ave,Oakland  CA 94602,3,1.0,1366,1924,37.795334,-122.211558,,,http://www.zillow.com/homedetails/3250-Coolidge-Ave-Oakland-CA-94602/24769726_zpid/,http://www.zillow.com/homedetails/3250-Coolidge-Ave-Oakland-CA-94602/24769726_zpid/#charts-and-data,http://www.zillow.com/homes/24769726_zpid/,http://www.zillow.com/homes/comps/24769726_zpid/,24769726,539243,03/13/2016,,,0.334987141549,550000,09/24/2015,3.0
principal_arv,mao_light,mao_med,mao_high
513333,292463.1,277643.1,255413.1

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2708 22ND Ave,Oakland  CA 94606,3,1.0,1034,1928,37.793932,-122.227444,http://www.redfin.com/CA/Oakland/2708-22nd-Ave-94606/home/528503,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24767189,http://www.zillow.com/homedetails/2708-22nd-Ave-Oakland-CA-94606/24767189_zpid/,http://www.zillow.com/homedetails/2708-22nd-Ave-Oakland-CA-94606/24767189_zpid/#charts-and-data,http://www.zillow.com/homes/24767189_zpid/,http://www.zillow.com/homes/comps/24767189_zpid/,24767189,388499,03/13/2016,2600,03/14/2016,0
2012 22nd Ave,Oakland  CA 94606,4,1.0,962,1898,37.788843,-122.233575,,,http://www.zillow.com/homedetails/2012-22nd-Ave-Oakland-CA-94606/24759658_zpid/,http://www.zillow.com/homedetails/2012-22nd-Ave-Oakland-CA-94606/24759658_zpid/#charts-and-data,http://www.zillow.com/homes/24759658_zpid/,http://www.zillow.com/homes/comps/24759658_zpid/,24759658,339618,03/13/2016,,,0.485484755294,325000,09/24/2015,5.0
2126 24th Ave,Oakland  CA 94601,3,2.5,1155,1908,37.787747,-122.228963,,,http://www.zillow.com/homedetails/2126-24th-Ave-Oakland-CA-94601/24760410_zpid/,http://www.zillow.com/homedetails/2126-24th-Ave-Oakland-CA-94601/24760410_zpid/#charts-and-data,http://www.zillow.com/homes/24760410_zpid/,http://www.zillow.com/homes/comps/24760410_zpid/,24760410,387254,03/13/2016,,,0.435315464154,390000,11/13/2015,4.0
2001 E 26th St,Oakland  CA 94606,3,2.0,864,1925,37.794407,-122.231812,,,http://www.zillow.com/homedetails/2001-E-26th-St-Oakland-CA-94606/24761723_zpid/,http://www.zillow.com/homedetails/2001-E-26th-St-Oakland-CA-94606/24761723_zpid/#charts-and-data,http://www.zillow.com/homes/24761723_zpid/,http://www.zillow.com/homes/comps/24761723_zpid/,24761723,323458,03/13/2016,,,0.240734475868,320000,11/13/2015,6.0
2621 22nd Ave,Oakland  CA 94606,2,1.0,1125,1919,37.792533,-122.228119,,,http://www.zillow.com/homedetails/2621-22nd-Ave-Oakland-CA-94606/24761806_zpid/,http://www.zillow.com/homedetails/2621-22nd-Ave-Oakland-CA-94606/24761806_zpid/#charts-and-data,http://www.zillow.com/homes/24761806_zpid/,http://www.zillow.com/homes/comps/24761806_zpid/,24761806,505005,03/13/2016,,,0.103448921043,500000,12/03/2015,5.0
principal_arv,mao_light,mao_med,mao_high
383750,217435.0,207095.0,191585.0

