"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","P","ML81565872","1210 Quail Creek Circle","$1,388,000","11","3","3|0","2,372","6,447 SqFt","San Jose","Res. Single Family","29"
"1","S","ML81522614","1556 Creek Drive","$1,385,000","78","4","2|1","1,887","6,300 SqFt","San Jose","Res. Single Family","51"
"1","P","ML81562997","787 Almondwood Way","$1,385,000","7","5","3|0","2,465","8,320 SqFt","San Jose","Res. Single Family","37"
"1","S","ML81577249","5785 Lilac Blossom Lane","$1,385,000","0","5","3|2","2,736","7,888 SqFt","San Jose","Res. Single Family","30"
"1","S","ML81518718","1512 Montellano Drive","$1,380,000","9","4","2|0","2,020","8,401 SqFt","San Jose","Res. Single Family","50"
"1","S","ML81520349","6660 Bollinger Road","$1,380,000","9","3","2|0","1,236","6,534 SqFt","San Jose","Res. Single Family","52"
"1","S","ML81533987","15104 Brewster Avenue","$1,380,000","12","4","2|0","2,311","9,375 SqFt","San Jose","Res. Single Family","66"
"1","S","ML81549683","4110 Cranford Circle","$1,380,000","11","4","2|1","2,161","6,000 SqFt","San Jose","Res. Single Family","39"
"1","S","ML81520560","3006 Magnum Drive","$1,376,000","11","5","3|0","2,862","8,176 SqFt","San Jose","Res. Single Family","24"
"1","P","ML81533975","1519 Rangewood Drive","$1,375,000","123","5","3|1","3,289","6,011 SqFt","San Jose","Res. Single Family","10"
"1","S","ML81545335","1176 FAIRVIEW Avenue","$1,375,000","0","3","2|0","1,776","5,663 SqFt","San Jose","Res. Single Family","87"
"1","S","ML81535078","1365 Whitehurst Court","$1,370,000","31","4","3|0","2,241","6,708 SqFt","San Jose","Res. Single Family","76"
"1","S","ML81519795","7010 Calcaterra Drive","$1,366,000","13","4","2|1","2,536","7,655 SqFt","San Jose","Res. Single Family","41"
"1","S","ML81548338","2425 Fairoak Court","$1,365,000","37","4","2|0","1,618","6,181 SqFt","San Jose","Res. Single Family","56"
"1","S","ML81562943","1718 Peony Lane","$1,365,000","5","5","3|0","2,300","6,600 SqFt","San Jose","Res. Single Family","57"
"1","S","ML81534919","3100 Cortona Drive","$1,360,000","45","5","3|0","2,798","4,677 SqFt","San Jose","Res. Single Family","18"
"1","S","ML81548036","1248 Coolidge Avenue","$1,360,000","11","3","1|1","1,244","8,276 SqFt","San Jose","Res. Single Family","55"
"1","S","ML81550684","1510 Foster Court","$1,360,000","5","3","2|0","1,904","8,320 SqFt","San Jose","Res. Single Family","36"
"1","S","ML81563795","3634 Pleasant Knoll Drive","$1,360,000","11","5","3|1","3,659","11,863 SqFt","San Jose","Res. Single Family","15"
