prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2226,39th Ave,Oakland,CA,94601,0,,2,1.0,1334,4800,1919,37.781654,-122.210882,,,http://www.zillow.com/homedetails/2226-39th-Ave-Oakland-CA-94601/24778845_zpid/,http://www.zillow.com/homedetails/2226-39th-Ave-Oakland-CA-94601/24778845_zpid/#charts-and-data,http://www.zillow.com/homes/24778845_zpid/,http://www.zillow.com/homes/comps/24778845_zpid/,24778845,495245,04/01/2016,,,0.271499793014,0,431000,12/01/2015,3.0,323
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
514710,301,59850,76950,102600,311182.5,299082.5,273432.5

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,8451,ASTER Ave,Oakland,CA,94605,228,40711605,1,1.0,2434,6240,1957,37.763308,-122.158839,http://www.redfin.com/CA/Oakland/8451-Aster-Ave-94605/home/585060,,http://www.zillow.com/homedetails/8451-Aster-Ave-Oakland-CA-94605/24799332_zpid/,http://www.zillow.com/homedetails/8451-Aster-Ave-Oakland-CA-94605/24799332_zpid/#charts-and-data,http://www.zillow.com/homes/24799332_zpid/,http://www.zillow.com/homes/comps/24799332_zpid/,24799332,679792,04/01/2016,3195,04/05/2016,0,3
redfin,7749,Sunkist Dr,Oakland,CA,94605,0,,5,3.0,2300,10750,1947,37.769183,-122.164074,,,http://www.zillow.com/homedetails/7749-Sunkist-Dr-Oakland-CA-94605/24793960_zpid/,http://www.zillow.com/homedetails/7749-Sunkist-Dr-Oakland-CA-94605/24793960_zpid/#charts-and-data,http://www.zillow.com/homes/24793960_zpid/,http://www.zillow.com/homes/comps/24793960_zpid/,24793960,710445,04/01/2016,,,0.496517991937,0,847000,04/01/2016,10.0,368
redfin,7408,Outlook Ave,Oakland,CA,94605,0,,3,2.0,1932,3284,1933,37.770391,-122.169134,,,http://www.zillow.com/homedetails/7408-Outlook-Ave-Oakland-CA-94605/24793675_zpid/,http://www.zillow.com/homedetails/7408-Outlook-Ave-Oakland-CA-94605/24793675_zpid/#charts-and-data,http://www.zillow.com/homes/24793675_zpid/,http://www.zillow.com/homes/comps/24793675_zpid/,24793675,502808,04/01/2016,,,0.745440737773,0,485000,07/10/2015,12.0,251
redfin,7929,Outlook Ave,Oakland,CA,94605,0,,3,2.0,2081,10200,1949,37.766187,-122.164343,,,http://www.zillow.com/homedetails/7929-Outlook-Ave-Oakland-CA-94605/24793739_zpid/,http://www.zillow.com/homedetails/7929-Outlook-Ave-Oakland-CA-94605/24793739_zpid/#charts-and-data,http://www.zillow.com/homes/24793739_zpid/,http://www.zillow.com/homes/comps/24793739_zpid/,24793739,593521,04/01/2016,,,0.360482477739,0,464000,06/08/2015,11.0,222
redfin,8108,Ney Ave,Oakland,CA,94605,0,,3,2.0,2066,11850,1939,37.764159,-122.163649,,,http://www.zillow.com/homedetails/8108-Ney-Ave-Oakland-CA-94605/24793832_zpid/,http://www.zillow.com/homedetails/8108-Ney-Ave-Oakland-CA-94605/24793832_zpid/#charts-and-data,http://www.zillow.com/homes/24793832_zpid/,http://www.zillow.com/homes/comps/24793832_zpid/,24793832,660432,04/01/2016,,,0.269226744216,0,480000,07/09/2015,10.0,232
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
652312,268,85190,109530,146040,389044.0,364704.0,328194.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2757,RITCHIE St,Oakland,CA,94605,180,40717753,2,1.0,1944,6000,1927,37.764418,-122.167666,http://www.redfin.com/CA/Oakland/2757-Ritchie-St-94605/home/1888921,,http://www.zillow.com/homedetails/2757-Ritchie-St-Oakland-CA-94605/24793202_zpid/,http://www.zillow.com/homedetails/2757-Ritchie-St-Oakland-CA-94605/24793202_zpid/#charts-and-data,http://www.zillow.com/homes/24793202_zpid/,http://www.zillow.com/homes/comps/24793202_zpid/,24793202,410682,04/01/2016,2340,04/05/2016,0,3
redfin,1769,Auseon Ave,Oakland,CA,94621,0,,4,2.0,1470,4120,1916,37.754616,-122.171784,,,http://www.zillow.com/homedetails/1769-Auseon-Ave-Oakland-CA-94621/24798466_zpid/,http://www.zillow.com/homedetails/1769-Auseon-Ave-Oakland-CA-94621/24798466_zpid/#charts-and-data,http://www.zillow.com/homes/24798466_zpid/,http://www.zillow.com/homes/comps/24798466_zpid/,24798466,357604,04/01/2016,,,0.713630664911,0,375000,05/22/2015,7.0,255
redfin,1981,Auseon Ave,Oakland,CA,94621,0,,3,2.0,2132,3920,1932,37.755539,-122.169807,,,http://www.zillow.com/homedetails/1981-Auseon-Ave-Oakland-CA-94621/24798489_zpid/,http://www.zillow.com/homedetails/1981-Auseon-Ave-Oakland-CA-94621/24798489_zpid/#charts-and-data,http://www.zillow.com/homes/24798489_zpid/,http://www.zillow.com/homes/comps/24798489_zpid/,24798489,387349,04/01/2016,,,0.624526263606,0,419000,01/15/2016,5.0,196
