prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,1231,80th Ave,Oakland,CA,94621,0,,1,1.0,660,5998,1907,37.755148,-122.184656,,,http://www.zillow.com/homedetails/1231-80th-Ave-Oakland-CA-94621/24796634_zpid/,http://www.zillow.com/homedetails/1231-80th-Ave-Oakland-CA-94621/24796634_zpid/#charts-and-data,http://www.zillow.com/homes/24796634_zpid/,http://www.zillow.com/homes/comps/24796634_zpid/,24796634,202569,04/01/2016,,,0.498313000988,0,185000,11/12/2015,11.0,280
redfin,1176,78th Ave,Oakland,CA,94621,0,,2,1.0,727,3484,1925,37.755142,-122.186827,,,http://www.zillow.com/homedetails/1176-78th-Ave-Oakland-CA-94621/24796696_zpid/,http://www.zillow.com/homedetails/1176-78th-Ave-Oakland-CA-94621/24796696_zpid/#charts-and-data,http://www.zillow.com/homes/24796696_zpid/,http://www.zillow.com/homes/comps/24796696_zpid/,24796696,268957,04/01/2016,,,0.397163835937,0,250000,05/29/2015,5.0,343
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
194110,295,23030,29610,39480,117552.5,110972.5,101102.5

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,1328,79th Ave,Oakland,CA,94621,190,40716447,3,2.0,1056,3816,1984,37.756514,-122.183246,http://www.redfin.com/CA/Oakland/1328-79th-Ave-94621/home/1843559,,http://www.zillow.com/homedetails/1328-79th-Ave-Oakland-CA-94621/24796670_zpid/,http://www.zillow.com/homedetails/1328-79th-Ave-Oakland-CA-94621/24796670_zpid/#charts-and-data,http://www.zillow.com/homes/24796670_zpid/,http://www.zillow.com/homes/comps/24796670_zpid/,24796670,272572,04/01/2016,2795,04/05/2016,0,3
redfin,1061,85th Ave,Oakland,CA,94621,0,,3,1.0,1120,4200,1950,37.751014,-122.182674,,,http://www.zillow.com/homedetails/1061-85th-Ave-Oakland-CA-94621/24797155_zpid/,http://www.zillow.com/homedetails/1061-85th-Ave-Oakland-CA-94621/24797155_zpid/#charts-and-data,http://www.zillow.com/homes/24797155_zpid/,http://www.zillow.com/homes/comps/24797155_zpid/,24797155,246893,04/01/2016,,,0.381295091548,0,227000,06/25/2015,5.0,202
redfin,1526,69th Ave,Oakland,CA,94621,0,,2,1.0,1065,3115,1929,37.761447,-122.188879,,,http://www.zillow.com/homedetails/1526-69th-Ave-Oakland-CA-94621/24789658_zpid/,http://www.zillow.com/homedetails/1526-69th-Ave-Oakland-CA-94621/24789658_zpid/#charts-and-data,http://www.zillow.com/homes/24789658_zpid/,http://www.zillow.com/homes/comps/24789658_zpid/,24789658,260021,04/01/2016,,,0.45918330445,0,235000,04/17/2015,6.0,220
redfin,1544,69th Ave,Oakland,CA,94621,0,,3,1.5,1185,3115,1929,37.761629,-122.188596,,,http://www.zillow.com/homedetails/1544-69th-Ave-Oakland-CA-94621/24789661_zpid/,http://www.zillow.com/homedetails/1544-69th-Ave-Oakland-CA-94621/24789661_zpid/#charts-and-data,http://www.zillow.com/homes/24789661_zpid/,http://www.zillow.com/homes/comps/24789661_zpid/,24789661,340197,04/01/2016,,,0.458590090462,0,365000,08/25/2015,6.0,308
